StateCode,State,Model_Class,Rank,Order,Selection_RMSE,Holdout_RMSE,AIC,BIC
NYICLAIMS,New York,Rolling-CV SARIMAX + Google Trends,6,"(7, 0, 5)",20720.1350911615,4822.468195866811,16448.15699684758,16569.2567623081
NYICLAIMS,New York,Rolling-CV SARIMAX + Google Trends,7,"(3, 0, 1)",20730.095503980752,4814.132362248123,16580.128733275495,16664.060360584503
NYICLAIMS,New York,Rolling-CV SARIMAX + Google Trends,8,"(1, 0, 2)",20738.291562759805,4824.5289609818055,16573.61575565981,16652.88451478498
NYICLAIMS,New York,Rolling-CV SARIMAX + Google Trends,9,"(2, 0, 2)",20739.038272736707,4823.779753902626,16581.275221227002,16665.206848536014
NYICLAIMS,New York,Rolling-CV SARIMAX + Google Trends,10,"(1, 0, 1)",20751.54624280608,4809.553333008141,16642.4983537729,16717.124915643923
NYICLAIMS,New York,Simple SARIMAX,1,"(5, 1, 4)",4950.302281847057,4950.302281847057,42231.744976417904,42332.4347776208
NYICLAIMS,New York,Simple SARIMAX,2,"(1, 1, 2)",4975.780568500801,4975.780568500801,42379.84548784855,42446.984100495145
NYICLAIMS,New York,Simple SARIMAX,3,"(2, 1, 1)",4980.332577803929,4980.332577803929,42397.39106898116,42464.53571632741
NYICLAIMS,New York,Simple SARIMAX,4,"(4, 1, 4)",4997.11101622023,4997.11101622023,42222.28878047479,42317.38470383307
NYICLAIMS,New York,Simple SARIMAX,5,"(3, 1, 3)",5001.473807911693,5001.473807911693,42236.47621227921,42320.39193091749
NYICLAIMS,New York,Simple SARIMAX,6,"(2, 1, 3)",5061.787375556951,5061.787375556951,42280.74814898093,42359.069486376655
NYICLAIMS,New York,Simple SARIMAX,7,"(3, 1, 4)",5067.228498175634,5067.228498175634,42269.21061331674,42358.71265883042
NYICLAIMS,New York,Simple SARIMAX,8,"(0, 1, 6)",5093.0439550442015,5093.0439550442015,42212.438482313,42296.33153663068
NYICLAIMS,New York,Simple SARIMAX,9,"(7, 0, 4)",5125.5085396550185,5125.5085396550185,44484.31946426387,44596.1869481263
NYICLAIMS,New York,Simple SARIMAX,10,"(2, 0, 6)",5181.465913480717,5181.465913480717,42191.60006421479,42286.687425497854
